Frame,Time(s) (Seconds),Position_X (m),Position_Y (m),Position_Z (m),Velocity_X (m/s),Speed,Acceleration_X,Acc_Magnitude,Force_X,Force_Magnitude,Momentum_X,Momentum_Magnitude,Impact_Displacement,Backing_Displacement,Kinetic_Energy,Potential_Energy,Total_Energy,Event
53,0.883,-4.5416,5,0.75,-0.3412,1.0288,1.125,1.125,0.225,0.225,-0.6825,0.20576,0.4584,0.018,0.1164,14.715,14.8314,AFTER
54,0.9,-4.547,5,0.75,-0.3242,0.9774,1.0,1.0,0.2,0.2,-0.6483,0.19548000000000001,0.453,0.0234,0.1051,14.715,14.8201,AFTER
55,0.917,-4.5521,5,0.75,-0.308,0.9285,0.952941176470587,0.952941176470587,0.1905882352941174,0.1905882352941174,-0.6159,0.1857,0.4479,0.0285,0.0948,14.715,14.8098,AFTER
56,0.933,-4.557,5,0.75,-0.2926,0.8821,0.9624999999999972,0.9624999999999972,0.19249999999999945,0.19249999999999945,-0.5851,0.17642000000000002,0.443,0.0334,0.0856,14.715,14.8006,AFTER
57,0.95,-4.5616,5,0.75,-0.2779,0.838,0.8647058823529488,0.8647058823529488,0.17294117647058976,0.17294117647058976,-0.5559,0.1676,0.4384,0.038,0.0772,14.715,14.7922,AFTER
58,0.967,-4.566,5,0.75,-0.264,0.7961,0.8176470588235268,0.8176470588235268,0.16352941176470537,0.16352941176470537,-0.5281,0.15922000000000003,0.434,0.0424,0.0697,14.715,14.7847,AFTER
59,0.983,-4.5702,5,0.75,-0.2508,0.7563,0.8249999999999986,0.8249999999999986,0.16499999999999973,0.16499999999999973,-0.5017,0.15126,0.4298,0.0466,0.0629,14.715,14.7779,AFTER
60,1.0,-4.5742,5,0.75,-0.2383,0.7185,0.7352941176470589,0.7352941176470589,0.14705882352941177,0.14705882352941177,-0.4766,0.14370000000000002,0.4258,0.0506,0.0568,14.715,14.7718,AFTER
61,1.017,-4.578,5,0.75,-0.2264,0.6826,0.7000000000000052,0.7000000000000052,0.14000000000000104,0.14000000000000104,-0.4528,0.13652,0.422,0.0543,0.0512,14.715,14.7662,AFTER
62,1.033,-4.5815,5,0.75,-0.2151,0.6484,0.7062499999999979,0.7062499999999979,0.1412499999999996,0.1412499999999996,-0.4301,0.12968,0.4185,0.0579,0.0463,14.715,14.7613,AFTER
63,1.05,-4.5849,5,0.75,-0.2043,0.616,0.6352941176470543,0.6352941176470543,0.12705882352941086,0.12705882352941086,-0.4086,0.1232,0.4151,0.0613,0.0417,14.715,14.7567,AFTER
64,1.067,-4.5882,5,0.75,-0.1941,0.5852,0.6000000000000042,0.6000000000000042,0.12000000000000084,0.12000000000000084,-0.3882,0.11704000000000002,0.4118,0.0646,0.0377,14.715,14.7527,AFTER
65,1.083,-4.5913,5,0.75,-0.1844,0.5559,0.6062499999999986,0.6062499999999986,0.12124999999999973,0.12124999999999973,-0.3688,0.11118,0.4087,0.0676,0.034,14.715,14.749,AFTER
66,1.1,-4.5942,5,0.75,-0.1752,0.5282,0.541176470588232,0.541176470588232,0.10823529411764642,0.10823529411764642,-0.3503,0.10564000000000001,0.4058,0.0706,0.0307,14.715,14.7457,AFTER
67,1.117,-4.5969,5,0.75,-0.1664,0.5017,0.5176470588235325,0.5176470588235325,0.1035294117647065,0.1035294117647065,-0.3328,0.10034000000000001,0.4031,0.0733,0.0277,14.715,14.7427,AFTER
68,1.133,-4.5996,5,0.75,-0.1581,0.4767,0.5187499999999996,0.5187499999999996,0.10374999999999993,0.10374999999999993,-0.3162,0.09534000000000001,0.4004,0.076,0.025,14.715,14.74,AFTER
